n,k,m,f_id,tb,function_seed,embedding_seed,dataset_seed,F0_size,F1_size,d,support_true,signs_true,antichain_masks,antichain_sets,sigma_weight,support_predicted,signs_predicted,restarts,solution_found
10,4,16,5,2,41239,4051244,405102836,10,6,60,"[9,6,0,2]","[-1,-1,1,-1]","[11,6,13]","[[0,1,3],[1,2],[0,2,3]]",4,"[0,2,6,9]","[1,-1,-1,-1]",0,True
10,4,16,5,3,41239,4051244,405102837,9,7,63,"[9,6,0,2]","[-1,-1,1,-1]","[11,6,13]","[[0,1,3],[1,2],[0,2,3]]",3,"[2,4,6]","[-1,1,-1]",0,True
10,4,16,5,4,41239,4051244,405102838,10,6,60,"[9,6,0,2]","[-1,-1,1,-1]","[11,6,13]","[[0,1,3],[1,2],[0,2,3]]",5,"[1,5,6,7,9]","[-1,1,-1,1,-1]",0,True
10,4,16,5,5,41239,4051244,405102839,12,4,48,"[9,6,0,2]","[-1,-1,1,-1]","[11,6,13]","[[0,1,3],[1,2],[0,2,3]]",5,"[0,2,4,5,6]","[1,-1,-1,-1,-1]",0,True
10,4,32,5,1,41239,4051244,405104435,22,10,220,"[9,6,0,2]","[-1,-1,1,-1]","[11,6,13]","[[0,1,3],[1,2],[0,2,3]]",3,"[0,2,6]","[1,-1,-1]",0,True
10,4,32,5,2,41239,4051244,405104436,19,13,247,"[9,6,0,2]","[-1,-1,1,-1]","[11,6,13]","[[0,1,3],[1,2],[0,2,3]]",6,"[0,1,3,4,5,8]","[1,-1,-1,1,1,-1]",0,True
10,4,32,5,3,41239,4051244,405104437,21,11,231,"[9,6,0,2]","[-1,-1,1,-1]","[11,6,13]","[[0,1,3],[1,2],[0,2,3]]",5,"[0,2,3,5,6]","[1,-1,-1,1,-1]",0,True
10,4,32,5,4,41239,4051244,405104438,21,11,231,"[9,6,0,2]","[-1,-1,1,-1]","[11,6,13]","[[0,1,3],[1,2],[0,2,3]]",4,"[0,2,6,9]","[1,-1,-1,-1]",0,True
10,4,32,5,5,41239,4051244,405104439,18,14,252,"[9,6,0,2]","[-1,-1,1,-1]","[11,6,13]","[[0,1,3],[1,2],[0,2,3]]",6,"[0,1,2,3,5,6]","[1,-1,-1,1,1,-1]",0,True
50,4,8,5,1,41239,4051284,405502035,7,1,7,"[19,7,34,16]","[-1,-1,1,-1]","[11,6,13]","[[0,1,3],[1,2],[0,2,3]]",3,"[29,36,45]","[1,-1,-1]",0,True
50,4,8,5,2,41239,4051284,405502036,4,4,16,"[19,7,34,16]","[-1,-1,1,-1]","[11,6,13]","[[0,1,3],[1,2],[0,2,3]]",1,[14],[1],0,True
50,4,8,5,3,41239,4051284,405502037,5,3,15,"[19,7,34,16]","[-1,-1,1,-1]","[11,6,13]","[[0,1,3],[1,2],[0,2,3]]",2,"[24,28]","[-1,1]",0,True
50,4,8,5,4,41239,4051284,405502038,5,3,15,"[19,7,34,16]","[-1,-1,1,-1]","[11,6,13]","[[0,1,3],[1,2],[0,2,3]]",3,"[7,26,29]","[-1,1,1]",0,True
50,4,8,5,5,41239,4051284,405502039,4,4,16,"[19,7,34,16]","[-1,-1,1,-1]","[11,6,13]","[[0,1,3],[1,2],[0,2,3]]",3,"[5,21,44]","[1,-1,-1]",0,True
50,4,16,5,1,41239,4051284,405502835,7,9,63,"[19,7,34,16]","[-1,-1,1,-1]","[11,6,13]","[[0,1,3],[1,2],[0,2,3]]",6,"[3,10,13,15,38,46]","[1,-1,-1,-1,-1,1]",0,True
50,4,16,5,2,41239,4051284,405502836,11,5,55,"[19,7,34,16]","[-1,-1,1,-1]","[11,6,13]","[[0,1,3],[1,2],[0,2,3]]",3,"[1,5,19]","[1,-1,-1]",0,True
