n,k,m,f_id,tb,function_seed,embedding_seed,dataset_seed,k_max_used,F0_size,F1_size,d,support_true,signs_true,antichain_masks,antichain_sets,sigma_weight,support_predicted,signs_predicted,restarts,solution_found
100,2,8,4,5,21238,2041334,205002039,10,7,1,7,"[34,37]","[1,1]",[3],"[[0,1]]",2,"[48,61]","[1,1]",0,True
10,2,2,5,1,21239,2051244,205101435,10,1,1,1,"[2,0]","[-1,1]",[3],"[[0,1]]",1,[7],[-1],0,True
10,2,2,5,2,21239,2051244,205101436,10,1,1,1,"[2,0]","[-1,1]",[3],"[[0,1]]",1,[0],[1],0,True
10,2,2,5,3,21239,2051244,205101437,10,1,1,1,"[2,0]","[-1,1]",[3],"[[0,1]]",1,[0],[1],0,True
10,2,2,5,4,21239,2051244,205101438,10,1,1,1,"[2,0]","[-1,1]",[3],"[[0,1]]",1,[0],[1],0,True
10,2,2,5,5,21239,2051244,205101439,10,1,1,1,"[2,0]","[-1,1]",[3],"[[0,1]]",1,[9],[-1],0,True
10,2,4,5,1,21239,2051244,205101635,10,2,2,4,"[2,0]","[-1,1]",[3],"[[0,1]]",1,[2],[-1],0,True
10,2,4,5,2,21239,2051244,205101636,10,3,1,3,"[2,0]","[-1,1]",[3],"[[0,1]]",1,[9],[1],0,True
10,2,4,5,3,21239,2051244,205101637,10,3,1,3,"[2,0]","[-1,1]",[3],"[[0,1]]",2,"[5,9]","[-1,-1]",0,True
10,2,4,5,4,21239,2051244,205101638,10,3,1,3,"[2,0]","[-1,1]",[3],"[[0,1]]",2,"[4,7]","[-1,-1]",0,True
